Date,Open,High,Low,Close,Adj Close,Volume
2014-08-01,454.880524,467.681183,443.908539,456.572052,430.582855,111518507
2014-09-01,459.155029,476.047333,419.358704,432.342224,407.732269,152110082
2014-10-01,431.382172,458.857880,416.729980,457.417786,431.380524,136723010
2014-11-01,458.995026,465.098206,440.434082,453.326172,427.521729,106619532
2014-12-01,452.137512,453.486176,393.025909,407.403809,384.213379,147332581
2015-01-01,405.186554,427.221954,379.996674,418.421509,394.603973,170597656
2015-02-01,418.787231,431.473602,382.465363,391.128662,368.864685,130033964
2015-03-01,397.277557,415.861389,364.110138,377.619415,356.124420,153426313
2015-04-01,377.116516,431.702179,371.721954,394.237396,371.796448,192614031
2015-05-01,394.237396,418.490082,391.882996,400.934906,378.112732,144815373
2015-06-01,402.306396,463.612396,399.403381,457.212067,436.619019,223823271
2015-07-01,457.623535,488.185089,449.463104,458.012115,437.383087,157001676
2015-08-01,457.623535,463.498108,373.962067,391.288696,373.664886,165666924
2015-09-01,390.374359,411.221130,377.207947,394.214539,376.458954,158024612
2015-10-01,399.540527,445.645752,392.523041,433.256561,413.742523,126289959
2015-11-01,433.850861,453.737610,415.998535,442.125580,422.212097,119278812
2015-12-01,440.708374,466.172546,417.324310,463.840973,442.949371,145115522
2016-01-01,461.646576,498.197052,446.514374,473.350037,452.030182,260520644
2016-02-01,475.430145,476.275909,406.009430,441.919861,422.015594,179078859
2016-03-01,441.028381,482.767670,441.005524,477.830292,456.308594,155451284
2016-04-01,475.041565,489.122284,447.497284,449.257385,433.853058,174667098
2016-05-01,447.565857,454.857666,423.176025,437.896790,422.881989,149181527
2016-06-01,437.942505,454.491943,426.719086,443.062775,427.870850,130595469
2016-07-01,444.708588,474.881561,443.451355,463.978149,448.069092,116152640
2016-08-01,465.395355,490.996674,449.577393,484.596344,467.980377,135238486
2016-09-01,481.396179,516.392273,458.217834,495.431183,478.443665,224756803
2016-10-01,496.939819,514.883606,477.007385,482.287659,465.750793,134486650
2016-11-01,480.618988,482.744812,425.164703,452.617554,437.097992,143104650
2016-12-01,457.166351,496.025513,450.994598,494.836853,477.869720,144328171
2017-01-01,495.568329,501.740082,463.018097,477.830292,461.446259,135499806
2017-02-01,478.241730,574.566650,467.224030,565.994812,546.587769,251816407
2017-03-01,566.932007,611.528564,560.966003,603.871033,583.165344,327738626
2017-04-01,613.517273,671.005920,611.254272,637.838501,615.968079,226198987
2017-05-01,637.838501,640.947205,592.076172,612.922913,591.906860,160545964
2017-06-01,609.265625,660.788269,598.430786,630.889587,609.257385,185149222
2017-07-01,634.638367,745.866882,626.775085,738.415100,713.096008,242753025
2017-08-01,741.866699,761.136292,699.464539,728.951782,709.553284,140644563
2017-09-01,731.397583,797.755310,712.356628,714.002441,695.001770,190932178
2017-10-01,714.002441,875.747864,714.002441,860.249939,837.357422,163812500
2017-11-01,866.558838,877.302246,798.212463,842.603333,820.180420,143107718
2017-12-01,845.254883,858.466980,788.749146,842.146118,819.735352,132200418
2018-01-01,843.654785,906.057983,828.751160,878.948059,855.557861,144502156
2018-02-01,880.731018,889.279968,796.383789,872.776306,849.550476,158516187
2018-03-01,868.387512,877.667969,804.612793,807.081482,785.603821,145249853
2018-04-01,816.499084,924.390381,809.413025,880.776733,857.337952,137697130
2018-05-01,880.776733,914.332703,828.934021,842.420471,820.002380,138801005
2018-06-01,841.186096,947.248718,839.768860,889.142822,865.481323,176717350
2018-07-01,889.051392,1088.421631,875.016418,1084.398560,1062.597046,217949397
2018-08-01,1088.421631,1215.148193,1066.066284,1135.281250,1112.456787,162745052
2018-09-01,1138.344238,1171.580200,1082.112793,1150.184814,1127.060547,196790634
2018-10-01,1149.956299,1149.956299,929.327759,970.335571,950.827271,301298756
2018-11-01,976.415894,1084.398560,960.049377,1067.529175,1046.066772,179017510
2018-12-01,1074.249512,1074.249512,964.621033,1025.195557,1004.584290,167045168
2019-01-01,1028.852905,1156.356567,988.485107,1122.023438,1099.465576,233775890
2019-02-01,1128.286621,1208.016357,1102.685303,1125.589233,1102.959717,190756815
2019-03-01,1131.029541,1269.093750,1114.205811,1246.464111,1221.404419,204177832
2019-04-01,1252.635864,1291.403564,1207.833496,1273.482666,1247.879639,182588509
2019-05-01,1273.482666,1296.066650,1122.343384,1216.199707,1191.748413,268176997
2019-06-01,1220.634155,1256.521729,1141.681519,1145.750366,1122.715332,145766473
2019-07-01,1150.276245,1188.632568,1062.820313,1066.340576,1044.902100,172782987
2019-08-01,1063.734619,1192.701294,1001.468628,1141.590088,1118.638672,261506982
2019-09-01,1141.590088,1221.319946,1072.192261,1218.119751,1200.794556,198527515
2019-10-01,1222.462891,1362.035767,1171.534546,1338.903076,1319.859985,179663201
2019-11-01,1330.354126,1448.440186,1300.683960,1418.267212,1398.095459,182691457
